"Artist","Title","Director","Year","Authority_Signal","Visual_Hook"
"Tommy Cash","Winaloto","Tommy Cash","2016","BMVA Most Bizarre Winner + Cult Classic","Ass Synth Aesthetic"
"Lorn","Acid Rain","R113","2015","Vimeo Staff Pick + Motion Awards","Cheerleaders in Post-Apocalypse"
"Yves Tumor","Gospel For A New Century","Isamaya Ffrench","2020","Pitchfork Best + Makeup Artistry","Horned Demon Soul Train"
"Solange","Almeda","Solange","2019","Cannes Lions Shortlist + Art Direction","Black Surrealist High Fashion"
"Mura Masa","What If I Go?","Yoni Lappin","2016","Promonews Pick + Trendsetter","Infinite Spinning Camera"
"Earl Sweatshirt","Grief","Hiro Murai","2015","Director's Library + Tech","Negative Thermal Camera"
"Jungle","Casio","J. Lloyd & Charlie Di Placido","2018","Vimeo Staff Pick + Choreography","Noir Club One-Shot Dance"
"Getter","Head Splitter","Liam Underwood","2015","Viral Animation + VFX","Neon Rotoscoping Dubstep"
"OrelSan","Tout va bien","Greg & Lio","2017","Victoires de la Musique + Production Design","Giant Toys in Ukraine"
"Bad Bunny","Monaco","Vania Heymann & Gal Muggia","2023","Ciclope Winner + Production Scale","Al Pacino Godfather Homage"
"Little Big","Hateful Love","Ilya Prusikin","2016","Viral Aesthetic + Photography","Distorted Perspective Rooms"
"Zebra Katz","Moor","Zebra Katz","2019","Nowness Premiere + Minimalism","Industrial Horror Loop"
"Toro y Moi","Rose Quartz","Harris Cole","2015","Vimeo Staff Pick + Rotoscope","Paint Stroke Animation"
"Khruangbin","Evan Finds The Third Room","Felix Heyes","2018","Promonews Best of Month","Invisible Hula Hoop"
"Jack White","Seven Nation Army (The Glitch Mob Remix)","Kipka","2021","Cannes Lions + VFX","Infinite Zoom Tunnel"
"Residente","Somos Anormales","Augusto Gordon","2017","Latin Grammy + BMVA","Evolutionary Body Horror"
"Cassius","The Missing","We Are From LA","2016","FWA Site of Day + Interactive","Interchangeable Couples Stunt"
"Metronomy","The Look","Lorenzo Fonda","2015","Cannes Lions (Commercial) + Set Design","Seagull Diorama Perspective"
"Corbin","Hunker Down","Corbin","2017","Indie Cult Status + Lo-Fi","Forest Horror Found Footage"
"Moses Sumney","Virile","Moses Sumney","2020","Dazed Feature + Symbolism","Meat Locker Choreography"
"Odesza","The Last Goodbye","Sean Kusanagi","2022","1.4 Awards + Editing","Rhythmic Match-Cut Archive"
"Brodinski","Us","Jeremie Rozan","2015","Vimeo Staff Pick + Atmosphere","Shanghai Opium Den Noir"
"Travis Scott","90210","Hype Williams","2015","Stop-Motion Craft","Action Figure Romance"
"Vampire Weekend","Capricorn","Nick Harwood","2024","Promonews Pick + 16mm","Gritty NYC Historical Montage"
"Troye Sivan","Got Me Started","Gordon von Steiner","2023","Vogue Feature + Styling","Bangkok Drag & Rooftops"
"M.I.A.","P.O.W.A","M.I.A.","2017","Director's Library + Composition","Human Flower Formation"
"Pink Floyd","Hey Hey Rise Up","Mat Whitecross","2022","Historical Context + Projection","Sunflower Projection Art"
"King Krule","Dum Surfer","Brother Willis","2017","Dazed Pick + Prosthetics","Zombie Pub Band"
